id,评论内容,created_time,用户名,province,child_comment_count
11445572798,<p>他们可不是光自己撒钱，而是逼着商家一起</p>,2026-03-24 04:12:03,ygdwawq,天津,0
11445115311,<p>你是领导，不创造音量，谁给你权力？不创造障碍，谁给你好处？</p>,2026-03-23 23:56:58,知乎用户,江苏,1
11445166536,去年外卖行业补贴了2000亿资金，无论你强调平台干了各种转嫁成本的事情，但是整个行业多出2000亿的增量资金，一定是比原来更好的。 <br><br>无非是商家真的把平台补贴出来的泡沫单看成是自己的本事。以为没有平台补贴，那些外卖订单就变成自己的堂食。 实际上，今年一季度补贴开始减少了，商家骑手的日子远比去年惨多了。 <br><br>我要是阿里美团，就把补贴全撤走，让管理层见识一下，没补贴的餐饮店有多惨，没单子跑的骑手会怎么样。 ,2026-03-23 20:12:04,翱翔天开,广东,39
11445843330,"<p>当年, 马云: 我们去掉了中间商, 所以便宜....<br>多年后, 我们就是最大的中间商, 以前的中间商才赚几个钱[机智]</p>",2026-03-24 10:20:42,小汤圆,上海,12
11445427614,说实话，一家店他如果长时间不上任何一家平台还能经营下去，他报多少钱，我就愿意付多少钱。,2026-03-23 21:44:02,柏侯子安,浙江,13
11445119883,"猛猛打，不打我怎么吃 9 块钱的饭[生气][生气]<a href=""https://pic1.zhimg.com/v2-279ea84231f8a89f334d16b691a9974b_qhd.jpg?source=1d2f5c51"" class=""comment_img"" data-width=""1272"" data-height=""752"">查看图片</a>",2026-03-24 08:29:00,冬瓜大萝卜,广东,10
11445416914,问题是那么多年下来我到店问价就只有一间真比平台开价便宜的，你就说店家贱不贱？<br>平台158一晚，到店问顶了天就是按平台价给我，那我直接平台订好了至少不用到店没房或者价更高嘛。<br>唯一一间我在果洛县城，平台价208 到店158。最夸张的是敦煌到店价比平台贵100。<br>如你说的平台价251 店里实收169开票220，那为什么不让人到店实付220呢？<br>说来说去都想宰客，只是店家能力不行。,2026-03-24 11:45:02,确山,广东,15
11445438189,中小经营者要活下去，前提不是永远靠补贴活着。真正健康的状态，还是要靠产品、效率和服务挣钱。要是离开补贴就死，那说明他的模式、产品就是有问题；但要是本来能活，却被平台强制低价压死，那该淘汰的应该是平台规则。,2026-03-24 09:44:05,凤之雏,福建,1
11445662198,你以为是反内卷，感叹效果不好，实际上说不定约谈效果甚佳[滑稽],2026-03-24 07:41:39,电源熊,四川,0
11445518542,可能是我认知太低了，搞不懂你想表达什么,2026-03-24 07:33:36,zhaoO,山东,9
11445575946,因为它们干的事就是没成本的啊，压榨商家就能拿钱,2026-03-24 08:48:06,新建个文件夹,内蒙古,0
11445205209,市场竞争，岂是几次约谈就能改变的,2026-03-24 08:32:49,心随,安徽,0
11445963045,各平台卷价格，希望收益的是消费者，能够买到更优惠性价比的产品，但是如果单纯是卷价格，降低产品品质，那么这个市场的质量只会越来越差，群众不是傻瓜，所以要回归初心做真正给消费者福利的事,2026-03-24 12:54:32,蜜雪儿不是雪,广东,0
11445816707,<p>我觉得作者前半部分说的还不错，但是最后一段很令人迷惑。目前中国数字化这么发达的当下，所有商家和消费者都进入了数字茧房，意思就是说，你不数字化，你压根就不可能有客户，但是如果你进入了数字化，那么，不好意思，你就要遵守数字化平台的规则，这个时候，你要求既得利益者数字化平台守着肥肉不做菜，很难。</p><p>第二点，你说靠低价才能存活的小经营者，又靠什么活？问得好，如果是充分的市场竞争，那就应该是有钱人住四星五星，中间的人住三星舒适，价格敏感型住低价的招待所，但现在整个营销宣传的都是薅羊毛，薅羊毛的意思就是花小钱住好房子，这种导向就是不让招待所存活的导向。</p><p>所以我认为国家的治理还得从跟上进行，就是遏制这种夸大宣传和薅羊毛消费定式。有多少钱享受对等的服务，而不是一拥而上都要高端化。</p>,2026-03-24 11:32:48,岸芷汀兰,陕西,0
11445698290,<p>别听怎么说，要看怎么做[为难]</p>,2026-03-24 11:04:27,知乎用户,北京,0
11445877091,约谈是个什么法律流程，保证约谈有效的内核威慑是什么。,2026-03-24 12:10:38,知乎用户,山东,0
11445547812,市场就是这样，你不卷，死的就是你,2026-03-24 09:07:36,skyfly,上海,0
11447086973,下层市场环境，必然发生的事情。之前是增量市场，现在是存量市场，更加严重就是减量市场。,2026-03-26 11:26:44,赖华清,广西,0
11446828213,<p>搞那些，反垄断法干啥的？那些巨额罚款收着不香吗</p><p></p>,2026-03-26 08:45:12,小兵,安徽,0
11446825796,答案显而易见：行政解决不了市场问题,2026-03-26 06:42:53,精神科捅主任,辽宁,0
11446798540,美团前台后台职能最傲慢。,2026-03-26 08:21:21,洛丹伦的秋天,广东,0
